[2026-01-04 17:19:10] IP: 127.0.0.1 | ACTION: CONNECT | CMD: New session established
[2026-01-04 17:19:16] IP: 127.0.0.1 | ACTION: EXEC | CMD: ls
[2026-01-04 17:19:42] IP: 127.0.0.1 | ACTION: EXEC | CMD: cd
[2026-01-04 17:19:46] IP: 127.0.0.1 | ACTION: EXEC | CMD: pwd
[2026-01-04 17:19:48] IP: 127.0.0.1 | ACTION: DISCONNECT | CMD: Session ended
[2026-01-04 17:22:57] IP: 127.0.0.1 | ACTION: CONNECT | CMD: New session established
[2026-01-04 17:23:11] IP: 127.0.0.1 | ACTION: EXEC | CMD: ls
[2026-01-04 17:23:13] IP: 127.0.0.1 | ACTION: EXEC | CMD: pwd
[2026-01-04 17:23:50] IP: 127.0.0.1 | ACTION: DISCONNECT | CMD: Session ended
[2026-01-04 18:12:33] IP: 127.0.0.1 | ACTION: CONNECT | CMD: New session established
[2026-01-04 18:12:52] IP: 127.0.0.1 | ACTION: AUTH | CMD: Login successful as admin
[2026-01-04 18:13:50] IP: 127.0.0.1 | ACTION: EXEC | CMD: ls
[2026-01-04 18:13:51] IP: 127.0.0.1 | ACTION: EXEC | CMD: pwd
[2026-01-04 18:13:54] IP: 127.0.0.1 | ACTION: EXEC | CMD: cd
[2026-01-04 18:13:56] IP: 127.0.0.1 | ACTION: EXEC | CMD: pwd
[2026-01-04 18:14:10] IP: 127.0.0.1 | ACTION: DISCONNECT | CMD: Session ended
[2026-01-04 18:16:01] IP: 127.0.0.1 | ACTION: CONNECT | CMD: New session established
[2026-01-04 18:16:18] IP: 127.0.0.1 | ACTION: AUTH | CMD: Login successful as mihnea
[2026-01-04 18:17:19] IP: 127.0.0.1 | ACTION: EXEC | CMD: cd
[2026-01-04 18:17:34] IP: 127.0.0.1 | ACTION: EXEC | CMD: ls
[2026-01-04 18:18:02] IP: 127.0.0.1 | ACTION: CONNECT | CMD: New session established
[2026-01-04 18:18:14] IP: 127.0.0.1 | ACTION: AUTH | CMD: Login failed for ad
[2026-01-04 18:18:43] IP: 127.0.0.1 | ACTION: DISCONNECT | CMD: Session ended
